Date	index	open	high	low	close	weighted_price	high_low_spread	midquote_price	effective_spread	7_trailing	7_next_trailing	volume_btc	volume_currency
2016-08-20	263	573.73	582.84	571.62	580.8	577.05	11.22	5.61	1150.38	-4.5225	-11.125	16809.24205063	9684446.45
2016-08-21	264	580.31	584.78	578.0	580.25	580.9	6.77	3.39	1153.73	8.4775	-5.71425	17201.85521553	10001982.61
2016-08-22	265	580.22	587.92	577.64	584.52	583.23	10.27	5.14	1158.77	17.5325	-11.282	14204.58555185	8270739.59
2016-08-23	266	584.67	587.01	577.86	581.94	582.62	9.15	4.57	1154.74	4.245	-5.405	14871.14168837	8660148.9
2016-08-24	267	582.46	583.73	576.86	579.26	579.78	6.87	3.43	1151.66	6.13725	-6.56975	11073.35152484	6414009.98
2016-08-25	268	579.02	579.87	571.85	576.1	575.14	8.02	4.01	1144.18	2.285	-4.0225	11996.81524294	6900158.28
2016-08-26	269	576.14	580.52	574.26	578.92	577.72	6.26	3.13	1151.59	5.49	-4.2425	8887.53933302	5134950.46
2016-08-27	270	578.66	579.13	566.26	569.68	572.19	12.87	6.44	1126.48	-11.125	28.45	8834.74241425	5056044.54
2016-08-28	271	569.2	575.8	568.3	574.54	572.01	7.5	3.75	1141.57	-5.71425	33.46675	5150.55124726	2945953.49
2016-08-29	272	575.53	577.44	570.21	573.24	574.4	7.23	3.62	1139.25	-11.282	33.088	9019.85465615	5177700.01
2016-08-30	273	572.38	578.22	571.12	576.54	575.51	7.1	3.55	1145.98	-5.405	34.89525	11180.26123344	6427113.93
2016-08-31	274	576.1	576.9	569.52	572.7	572.79	7.38	3.69	1138.01	-6.56975	43.13875	13713.43481458	7852884.04
2016-09-01	275	572.69	573.83	568.2	572.08	571.24	5.63	2.81	1138.53	-4.0225	55.16975	11677.967492920001	6669243.3
2016-09-02	276	571.9	576.18	567.77	574.68	572.52	8.4	4.2	1140.96	-4.2425	48.445	10264.42240527	5879707.09
2016-09-03	277	574.62	600.56	571.9	598.12	583.05	28.65	14.33	1167.6	28.45	25.05725	46285.87801428999	26676342.05
2016-09-04	278	598.41	613.1	594.83	608.0	604.11	18.28	9.14	1197.73	33.46675	-0.771	20123.14111191	12109802.96
2016-09-05	279	609.3	610.05	598.67	606.33	604.61	11.38	5.69	1201.28	33.088	1.93075	21626.337706849998	13058117.65
2016-09-06	280	606.69	612.39	603.85	611.44	608.41	8.54	4.27	1214.33	34.89525	-1.698	10767.309059309999	6547627.76
2016-09-07	281	611.8	617.03	607.27	615.83	612.65	9.76	4.88	1221.9	43.13875	-5.731	12516.906910610001	7665820.68
2016-09-08	282	615.7	631.21	613.46	627.25	623.47	17.75	8.88	1236.74	55.16975	-20.18175	13984.28683759	8713513.81
